Year,Month,CT(Cargo Throughput)
2013,1,25931591
2013,2,23666539
2013,3,28492456
2013,4,28086874
2013,5,27377204
2013,6,27541518
2013,7,27815419
2013,8,26794174
2013,9,26233417
2013,10,27140509
2013,11,27335093
2013,12,28443430
2014,1,28718248
2014,2,24010372
2014,3,30298679
2014,4,30092612
2014,5,28716862
2014,6,29514452
2014,7,29445222
2014,8,29026785
2014,9,28323558
2014,10,30752119
2014,11,28571963
2014,12,29169199
2015,1,30673861
2015,2,28924627
2015,3,30688867
2015,4,30526444
2015,5,30126098
2015,6,29850189
2015,7,30167786
2015,8,29924054
2015,9,30073055
2015,10,30241509
2015,11,28519892
2015,12,29959961
2016,1,28864749
2016,2,28751643
2016,3,31035995
2016,4,29274828
2016,5,30877161
2016,6,29863265
2016,7,31845532
2016,8,30391960
2016,9,29719597
2016,10,31736426
2016,11,30037019
2016,12,29971189
2017,1,34063801
2017,2,27992248
2017,3,33969570
2017,4,34724824
2017,5,32694199
2017,6,41245914
2017,7,34928780
2017,8,32011052
2017,9,31256433
2017,10,31541818
2017,11,32625412
2017,12,34178618
2018,1,31814383
2018,2,31500678
2018,3,32369844
2018,4,37268624
2018,5,44502216
2018,6,40113927
2018,7,43897826
2018,8,39286924
2018,9,40381704
2018,10,39775468
2018,11,40345779
2018,12,40204128
2019,1,36930816
2019,2,34907515
2019,3,38811121
2019,4,37209631
2019,5,39175193
2019,6,42084981
2019,7,41906812
2019,8,43272732
2019,9,37680518
2019,10,39331626
2019,11,37103263
2019,12,40346361
2020,1,34515431
2020,2,31583023
2020,3,36414373
2020,4,32637170
2020,5,31540447
2020,6,32549285
2020,7,33512358
2020,8,33184113
2020,9,33729209
2020,10,36940414
2020,11,37864868
2020,12,36482972
2021,1,35773693
2021,2,32545646
2021,3,37977172
2021,4,37910097
2021,5,38581716
2021,6,37456574
2021,7,38332641
2021,8,36670862
2021,9,35998119
2021,10,38759214
2021,11,36116859
2021,12,36436121
2022,1,38481611
2022,2,33564942
2022,3,35765172
2022,4,36347092
2022,5,37706504
2022,6,35449278
2022,7,39645403
2022,8,36612765
2022,9,30162035
2022,10,35004097
2022,11,33928238
2022,12,32416485
2023,1,35561807
2023,2,32440249
2023,3,38413169
2023,4,37705487
2023,5,37234609
2023,6,35339720
2023,7,36253982
2023,8,35975475
2023,9,37006305
2023,10,35720689
2023,11,37057268
2023,12,35960039
2024,1,37524189
2024,2,35689510
2024,3,38480594
2024,4,38313730
2024,5,40012984
2024,6,39676252
2024,7,40395943
2024,8,39243584
2024,9,35893092
2024,10,39656490
2024,11,38395421
2024,12,40206425
