Address,Size,Floor,Month Price,Depossit Price,Latitude,Longitude
경상남도 창원시 진해구 용원동,51.25,1 Floor,150000,2000000,35.1,128.82
경상남도 창원시 진해구 용원동,43.96,1 Floor,120000,2000000,35.1,128.82
경상남도 창원시 진해구 용원동,45.18,1 Floor,150000,1000000,35.1,128.82
경상남도 창원시 진해구 용원동,357,6 Floor,250000,100000000,35.1,128.82
경상남도 창원시 진해구 용원동,41.04,1 Floor,95000,2000000,35.1,128.82
경상남도 창원시 진해구 용원동,165,1 Floor,400000,5000000,35.1,128.82
경상남도 창원시 진해구 용원동,165,1 Floor,400000,5000000,35.1,128.82
경상남도 창원시 진해구 용원동,165,1 Floor,400000,5000000,35.1,128.82
경상남도 창원시 진해구 용원동,59.5,1 Floor,40000,500000,35.1,128.82
경상남도 창원시 진해구 용원동,60,1 Floor,50000,500000,35.1,128.82
경상남도 창원시 진해구 용원동,244.66,3 Floor,250000,3000000,35.1,128.82
경상남도 창원시 진해구 용원동,244.66,3 Floor,250000,3000000,35.1,128.82
경상남도 창원시 진해구 용원동,180,1 Floor,380000,3000000,35.1,128.82
경상남도 창원시 진해구 용원동,180,1 Floor,380000,3000000,35.1,128.82
경상남도 창원시 진해구 용원동,60.42,1 Floor,140000,2000000,35.1,128.82
경상남도 창원시 진해구 용원동,123.12,2 Floor,150000,2000000,35.1,128.82
부산시 강서구 송정동,45.92,1 Floor,60000,1000000,35.1,128.85
부산시 강서구 송정동,412,4 Floor,350000,3000000,35.1,128.85
부산시 강서구 송정동,45.92,1 Floor,60000,1000000,35.1,128.85
부산시 강서구 송정동,412,4 Floor,350000,3000000,35.1,128.85
부산시 동구 초량동,44.6,2 Floor,40000,500000,35.12,129.04
부산시 동구 초량동,123,B1 Floor,150000,3000000,35.12,129.04
부산시 동구 초량동,155.37,2 Floor,120000,2000000,35.12,129.04
부산시 동구 초량동,155.37,2 Floor,120000,2000000,35.12,129.04
부산시 동구 초량동,112.39,1 Floor,300000,6000000,35.12,129.04
부산시 동구 초량동,112.39,1 Floor,300000,6000000,35.12,129.04
부산시 동구 초량동,98.3,3 Floor,100000,2000000,35.12,129.04
부산시 동구 초량동,98.3,3 Floor,100000,2000000,35.12,129.04
부산시 동구 초량동,143.41,4 Floor,120000,2400000,35.12,129.04
부산시 동구 초량동,19.83,1 Floor,40000,1000000,35.12,129.04
부산시 동구 초량동,19.83,1 Floor,40000,1000000,35.12,129.04
부산시 동구 초량동,222.3,1 Floor,270000,9000000,35.12,129.04
부산시 동구 초량동,122.97,5 Floor,120000,3000000,35.12,129.04
부산시 동구 초량동,26.7,1 Floor,100000,2000000,35.12,129.04
